year,weight
2005,71.8
2005,94.6
2005,90.7
2005,85.3
2005,84.2
2005,69.4
2005,99.6
2005,80.5
2005,94.2
2005,95.7
2005,78.8
2005,86.3
2005,78.0
2005,65.4
2005,105.4
2005,87.6
2005,66.7
2005,73.6
2005,89.6
2005,71.4
2005,100.5
2005,91.5
2005,97.4
2005,77.8
2005,82.6
2005,97.3
2005,87.6
2005,73.5
2005,71.8
2008,153.0
2008,187.0
2008,129.0
2008,196.0
2008,140.0
2008,131.0
2008,135.0
2008,191.0
2008,145.0
2008,136.0
2008,125.0
2008,154.0
2008,138.0
2008,138.0
2008,127.0
2008,128.0
2008,134.0
2008,153.0
2008,164.0
2008,155.0
2008,146.0
2008,134.0
2008,170.0
2008,151.0
2011,199.0
2011,187.0
2011,187.0
2011,164.0
2011,156.0
2011,145.0
2011,185.0
2011,219.0
2011,163.0
2011,236.0
2011,229.0
2011,164.0
2011,213.0
2011,190.0
2011,225.0
2011,192.0
2011,159.0
2011,137.0
2011,196.0
2011,203.0
2011,165.0
2011,190.0
2011,193.0
2011,216.0
2011,234.0
2011,189.0
2011,178.0
2011,153.0
2011,179.0
2014,152.7
2014,192.7
2014,192.7
2014,149.4
2014,145.4
2014,149.1
2014,214.2
2014,177.6
2014,185.4
2014,159.4
2014,169.3
2014,190.9
2014,171.0
2014,198.1
2014,157.7
2014,141.1
2014,185.9
2014,171.0
2014,200.0
2014,200.9
2014,166.0
2014,145.4
2014,163.6
2014,165.4
2014,203.6
2014,250.9
2014,156.0
2014,232.7
2014,230.9
2014,179.3
